id,name,lowercase_name
862,John Lasseter,john lasseter
8844,Joe Johnston,joe johnston
15602,Howard Deutch,howard deutch
31357,Forest Whitaker,forest whitaker
11862,Charles Shyer,charles shyer
949,Michael Mann,michael mann
11860,Sydney Pollack,sydney pollack
45325,Peter Hewitt,peter hewitt
9091,Peter Hyams,peter hyams
710,Martin Campbell,martin campbell
9087,Rob Reiner,rob reiner
12110,Mel Brooks,mel brooks
21032,Simon Wells,simon wells
10858,Oliver Stone,oliver stone
1408,Renny Harlin,renny harlin
524,Martin Scorsese,martin scorsese
4584,Ang Lee,ang lee
5,Allison Anders,allison anders
5,Alexandre Rockwell,alexandre rockwell
5,Robert Rodriguez,robert rodriguez
5,Quentin Tarantino,quentin tarantino
9273,Steve Oedekerk,steve oedekerk
11517,Joseph Ruben,joseph ruben
8012,Barry Sonnenfeld,barry sonnenfeld
1710,Jon Amiel,jon amiel
9691,Richard Donner,richard donner
12665,Victor Salva,victor salva
451,Mike Figgis,mike figgis
16420,Oliver Parker,oliver parker
9263,Lesli Linka Glatter,lesli linka glatter
17015,Roger Michell,roger michell
902,Jean-Pierre Jeunet,jean-pierre jeunet
902,Marc Caro,marc caro
37557,Zhang Yimou,zhang yimou
9909,John N. Smith,john n. smith
63,Terry Gilliam,terry gilliam
78802,Jean-Jacques Annaud,jean-jacques annaud
9598,Chris Noonan,chris noonan
47018,Christopher Hampton,christopher hampton
687,Tim Robbins,tim robbins
139405,Stephen Low,stephen low
33689,Andy Tennant,andy tennant
9603,Amy Heckerling,amy heckerling
34615,Darrell James Roodt,darrell james roodt
31174,Richard Loncraine,richard loncraine
11443,Albert Hughes,albert hughes
11443,Allen Hughes,allen hughes
35196,Michael Hoffman,michael hoffman
9312,Paul W.S. Anderson,paul w.s. anderson
577,Gus Van Sant,gus van sant
11861,Jocelyn Moorhouse,jocelyn moorhouse
807,David Fincher,david fincher
10530,Mike Gabriel,mike gabriel
10530,Eric Goldberg,eric goldberg
8391,Patricia Rozema,patricia rozema
629,Bryan Singer,bryan singer
117164,Richard W. Munchkin,richard w. munchkin
11448,Woody Allen,woody allen
49133,Gianni Amelio,gianni amelio
26441,Holly Goldberg Sloan,holly goldberg sloan
97406,Ulu Grosbard,ulu grosbard
124057,Robert Tinnell,robert tinnell
9089,Jodie Foster,jodie foster
11010,Michael Radford,michael radford
99040,Robert Lepage,robert lepage
11359,Frank Oz,frank oz
17182,John Schlesinger,john schlesinger
2054,Stephen Herek,stephen herek
10607,Paris Barclay,paris barclay
19760,Bill Bennett,bill bennett
9536,Jason Bloom,jason bloom
11525,Farhad Mann,farhad mann
40628,James Foley,james foley
