title,popularity,vote_average,vote_count,release_date,release_year,month_name,day_name,revenue,budget,return
Toy Story,21.946943,7.7,5415.0,1995-10-30,1995,Octubre,Lunes,373554033.0,30000000.0,12.4518011
Jumanji,17.015539,6.9,2413.0,1995-12-15,1995,Diciembre,Viernes,262797249.0,65000000.0,4.0430346
Grumpier Old Men,11.7129,6.5,92.0,1995-12-22,1995,Diciembre,Viernes,0.0,0.0,0.0
Waiting to Exhale,3.859495,6.1,34.0,1995-12-22,1995,Diciembre,Viernes,81452156.0,16000000.0,5.09075975
Father of the Bride Part II,8.387519,5.7,173.0,1995-02-10,1995,Febrero,Viernes,76578911.0,0.0,0.0
Heat,17.924927,7.7,1886.0,1995-12-15,1995,Diciembre,Viernes,187436818.0,60000000.0,3.123946966666667
Sabrina,6.677277,6.2,141.0,1995-12-15,1995,Diciembre,Viernes,0.0,58000000.0,0.0
Tom and Huck,2.561161,5.4,45.0,1995-12-22,1995,Diciembre,Viernes,0.0,0.0,0.0
Sudden Death,5.23158,5.5,174.0,1995-12-22,1995,Diciembre,Viernes,64350171.0,35000000.0,1.8385763142857143
GoldenEye,14.686036,6.6,1194.0,1995-11-16,1995,Noviembre,Jueves,352194034.0,58000000.0,6.072310931034483
The American President,6.318445,6.5,199.0,1995-11-17,1995,Noviembre,Viernes,107879496.0,62000000.0,1.739991870967742
Dracula: Dead and Loving It,5.430331,5.7,210.0,1995-12-22,1995,Diciembre,Viernes,0.0,0.0,0.0
Balto,12.140733,7.1,423.0,1995-12-22,1995,Diciembre,Viernes,11348324.0,0.0,0.0
Nixon,5.092,7.1,72.0,1995-12-22,1995,Diciembre,Viernes,13681765.0,44000000.0,0.31094920454545455
Cutthroat Island,7.284477,5.7,137.0,1995-12-22,1995,Diciembre,Viernes,10017322.0,98000000.0,0.10221757142857144
Casino,10.137389,7.8,1343.0,1995-11-22,1995,Noviembre,Miã©rcoles,116112375.0,52000000.0,2.2329302884615383
Sense and Sensibility,10.673167,7.2,364.0,1995-12-13,1995,Diciembre,Miã©rcoles,135000000.0,16500000.0,8.181818181818182
