title,popularity,vote_average,vote_count,release_date,release_year,month_name,day_name,lowercase_title
Toy Story,21.946943,7.7,5415.0,1995-10-30,1995,Octubre,Lunes,toy story
Jumanji,17.015539,6.9,2413.0,1995-12-15,1995,Diciembre,Viernes,jumanji
Grumpier Old Men,11.7129,6.5,92.0,1995-12-22,1995,Diciembre,Viernes,grumpier old men
Waiting to Exhale,3.859495,6.1,34.0,1995-12-22,1995,Diciembre,Viernes,waiting to exhale
Father of the Bride Part II,8.387519,5.7,173.0,1995-02-10,1995,Febrero,Viernes,father of the bride part ii
Heat,17.924927,7.7,1886.0,1995-12-15,1995,Diciembre,Viernes,heat
Sabrina,6.677277,6.2,141.0,1995-12-15,1995,Diciembre,Viernes,sabrina
Tom and Huck,2.561161,5.4,45.0,1995-12-22,1995,Diciembre,Viernes,tom and huck
Sudden Death,5.23158,5.5,174.0,1995-12-22,1995,Diciembre,Viernes,sudden death
GoldenEye,14.686036,6.6,1194.0,1995-11-16,1995,Noviembre,Jueves,goldeneye
The American President,6.318445,6.5,199.0,1995-11-17,1995,Noviembre,Viernes,the american president
Dracula: Dead and Loving It,5.430331,5.7,210.0,1995-12-22,1995,Diciembre,Viernes,dracula: dead and loving it
Balto,12.140733,7.1,423.0,1995-12-22,1995,Diciembre,Viernes,balto
Nixon,5.092,7.1,72.0,1995-12-22,1995,Diciembre,Viernes,nixon
Cutthroat Island,7.284477,5.7,137.0,1995-12-22,1995,Diciembre,Viernes,cutthroat island
Casino,10.137389,7.8,1343.0,1995-11-22,1995,Noviembre,Miércoles,casino
Sense and Sensibility,10.673167,7.2,364.0,1995-12-13,1995,Diciembre,Miércoles,sense and sensibility
Four Rooms,9.026586,6.5,539.0,1995-12-09,1995,Diciembre,Sábado,four rooms
Ace Ventura: When Nature Calls,8.205448,6.1,1128.0,1995-11-10,1995,Noviembre,Viernes,ace ventura: when nature calls
Money Train,7.337906,5.4,224.0,1995-11-21,1995,Noviembre,Martes,money train
