id,title,release_date,revenue,budget,return
862,Toy Story,1995-10-30,373554033.0,30000000.0,12.4518011
8844,Jumanji,1995-12-15,262797249.0,65000000.0,4.0430346
31357,Waiting to Exhale,1995-12-22,81452156.0,16000000.0,5.09075975
949,Heat,1995-12-15,187436818.0,60000000.0,3.123946966666667
9091,Sudden Death,1995-12-22,64350171.0,35000000.0,1.8385763142857143
710,GoldenEye,1995-11-16,352194034.0,58000000.0,6.072310931034483
9087,The American President,1995-11-17,107879496.0,62000000.0,1.739991870967742
10858,Nixon,1995-12-22,13681765.0,44000000.0,0.31094920454545455
1408,Cutthroat Island,1995-12-22,10017322.0,98000000.0,0.10221757142857144
524,Casino,1995-11-22,116112375.0,52000000.0,2.2329302884615383
4584,Sense and Sensibility,1995-12-13,135000000.0,16500000.0,8.181818181818182
5,Four Rooms,1995-12-09,4300000.0,4000000.0,1.075
9273,Ace Ventura: When Nature Calls,1995-11-10,212385533.0,30000000.0,7.079517766666667
11517,Money Train,1995-11-21,35431113.0,60000000.0,0.59051855
8012,Get Shorty,1995-10-20,115101622.0,30250000.0,3.805012297520661
9691,Assassins,1995-10-06,30303072.0,50000000.0,0.60606144
451,Leaving Las Vegas,1995-10-27,49800000.0,3600000.0,13.833333333333334
9263,Now and Then,1995-10-20,27400000.0,12000000.0,2.283333333333333
902,The City of Lost Children,1995-05-16,1738611.0,18000000.0,0.0965895
63,Twelve Monkeys,1995-12-29,168840000.0,29500000.0,5.7233898305084745
9598,Babe,1995-07-18,254134910.0,30000000.0,8.471163666666667
687,Dead Man Walking,1995-12-29,39363635.0,11000000.0,3.5785122727272727
9312,Mortal Kombat,1995-08-18,122195920.0,18000000.0,6.788662222222222
577,To Die For,1995-05-20,21284514.0,20000000.0,1.0642257
11861,How To Make An American Quilt,1995-10-06,23574130.0,10000000.0,2.357413
807,Se7en,1995-09-22,327311859.0,33000000.0,9.918541181818181
10530,Pocahontas,1995-06-14,346079773.0,55000000.0,6.292359509090909
629,The Usual Suspects,1995-07-19,23341568.0,6000000.0,3.890261333333333
11448,Mighty Aphrodite,1995-09-13,6700000.0,15000000.0,0.44666666666666666
10634,Friday,1995-04-26,28215918.0,3500000.0,8.061690857142857
755,From Dusk Till Dawn,1996-01-19,25836616.0,19000000.0,1.3598218947368421
11859,Fair Game,1995-11-03,11534477.0,50000000.0,0.23068954
36929,Big Bully,1996-01-26,2042530.0,15000000.0,0.13616866666666666
9102,Screamers,1995-09-08,5781885.0,20000000.0,0.28909425
400,Things to Do in Denver When You're Dead,1995-12-01,529766.0,8000000.0,0.06622075
10534,White Squall,1996-02-02,10300000.0,38000000.0,0.2710526315789474
2086,Nick of Time,1995-11-22,8175346.0,8169363.0,1.000732370443081
9095,Mary Reilly,1996-02-23,12379402.0,47000000.0,0.2633915319148936
12158,Vampire in Brooklyn,1995-10-26,19800000.0,14000000.0,1.4142857142857144
9208,Broken Arrow,1996-02-09,150270147.0,50000000.0,3.00540294
